path,name,extension,file_type,category,size_bytes,last_modified,status,notes,reference_count,referenced_by_count,md5_hash
resume-velvit-thunder - Production\.cursorignore,.cursorignore,,Unknown,other,82,2025-06-05 23:14:37,potentially_orphaned,Not referenced by any other files,0,0,7000b678f99d7b70870c61126f367bc2
resume-velvit-thunder - Production\.env,.env,,Unknown,other,504,2025-06-02 17:51:38,potentially_orphaned,Not referenced by any other files,0,0,f6c2fdbae42a736b737df11ba0582225
resume-velvit-thunder - Production\.env.example,.env.example,.example,Unknown,other,1141,2025-06-03 11:42:03,potentially_orphaned,Not referenced by any other files,0,0,8a137357b43a4387b19e244e9055b953
resume-velvit-thunder - Production\.gitignore,.gitignore,,Unknown,other,1260,2025-06-03 17:29:04,potentially_orphaned,Not referenced by any other files,0,0,9919f5fd9e18fad2e77c0661adef2572
resume-velvit-thunder - Production\.roomodes,.roomodes,,Unknown,other,6831,2025-06-02 21:51:09,potentially_orphaned,Not referenced by any other files,0,0,0d2499d919c22f89a13bd4feba4b5052
resume-velvit-thunder - Production\.taskmasterconfig,.taskmasterconfig,,Unknown,other,686,2025-06-02 21:51:53,potentially_orphaned,Not referenced by any other files,0,0,8a6331f0d6a10c1fea31be824525c0a6
resume-velvit-thunder - Production\.windsurfrules,.windsurfrules,,Unknown,other,46835,2025-06-03 11:58:56,potentially_orphaned,Not referenced by any other files,0,0,2b36722dd12dd96994c7e685ad5d1571
resume-velvit-thunder - Production\00-database-setup.py,00-database-setup.py,.py,Python,source,10528,2025-06-02 18:48:00,potentially_orphaned,Not referenced by any other files,0,0,8781bd8a310021dcf26dad2988f01eb8
resume-velvit-thunder - Production\00-initialize-memory-bank.py,00-initialize-memory-bank.py,.py,Python,source,4379,2025-06-02 18:22:12,potentially_orphaned,Not referenced by any other files,0,0,cf7528118c3c3c673e53ccc72c517f97
resume-velvit-thunder - Production\01-job-description-analysis.py,01-job-description-analysis.py,.py,Python,source,15578,2025-06-03 18:39:41,potentially_orphaned,Not referenced by any other files,0,0,9b6ebcec9c37c68d6117e9c681e30c9e
resume-velvit-thunder - Production\02-source-documents.py,02-source-documents.py,.py,Python,source,13512,2025-06-02 19:07:56,potentially_orphaned,Not referenced by any other files,0,0,9edf7080986797ad572aa6be23f72688
resume-velvit-thunder - Production\03-configuration.py,03-configuration.py,.py,Python,source,19692,2025-06-03 08:44:09,potentially_orphaned,Not referenced by any other files,0,0,6743f96d30d7cf1dcd0dd7c15cab9087
resume-velvit-thunder - Production\04-resume-generation.py,04-resume-generation.py,.py,Python,source,107420,2025-06-02 23:49:50,potentially_orphaned,Not referenced by any other files,0,0,f3c3343399021ca8cf2767857311af67
resume-velvit-thunder - Production\ai_providers.py,ai_providers.py,.py,Python,source,25829,2025-06-02 22:39:55,potentially_orphaned,Not referenced by any other files,0,0,647f2d8f8730f93f4a10e4ef76bbc40c
resume-velvit-thunder - Production\analyze-job.bat,analyze-job.bat,.bat,Unknown,other,270,2025-06-02 17:52:33,potentially_orphaned,Not referenced by any other files,0,0,f6f4c5faafc5eaebfacf346d34f4e1e5
resume-velvit-thunder - Production\analyze-job.ps1,analyze-job.ps1,.ps1,Unknown,other,1126,2025-06-02 17:52:24,potentially_orphaned,Not referenced by any other files,0,0,ab4cfcc1b692699b76b46a598f797fc3
resume-velvit-thunder - Production\AUDIT_GUIDE.md,AUDIT_GUIDE.md,.md,Markdown,documentation,5126,2025-06-06 11:33:08,active,,0,0,59cf3f7e517a43cdd78a0a277c9d7b24
resume-velvit-thunder - Production\check_host_file.md,check_host_file.md,.md,Markdown,documentation,2030,2025-06-03 20:00:48,active,,0,0,4949f9b54dea8ae458f499d48b2a2d24
resume-velvit-thunder - Production\config.example.json,config.example.json,.json,JSON,configuration,132,2025-06-02 17:24:14,active,,0,0,967f43ce6065eaf14458f94160578c1a
